81,10092648
101,10196311
25,10202136
26,10220446
28,10358771
89,10570258
106,10583963
335,10679817
35,10720514
132,11234881
79,11700073
90,11709336
225,11773376
156,11861388
88,12377943
0,12402506
300,12835707
208,12887918
39,12915736
45,12960367
113,14678997
151,14687724
279,14697198
236,14755242
209,15215692
254,15531877
294,15601474
12,15650173
92,15850827
91,16005254
239,16009126
53,16135896
267,16141076
133,16161154
216,16497588
134,16510173
153,16612374
61,16641282
240,16736021
289,16773571
131,16899591
277,16905787
222,16957379
13,16996553
70,17005807
227,17060945
71,17166600
52,17182681
229,17195767
328,17322031
43,17392523
228,17468766
38,17542646
55,17545705
22,17570119
313,17622355
262,17712037
270,17761882
42,17901336
261,17906637
143,17914389
82,17933721
248,17942673
308,17944962
117,18025279
243,18042587
54,18070967
72,18096812
332,18234899
139,18246596
44,18266604
119,18297689
315,18383392
221,18389079
49,18411462
170,18439751
273,18452151
20,18505181
274,18568019
40,18590744
188,18676693
51,18728830
56,18783318
21,18832244
108,18832245
206,18952441
333,19015395
325,19043405
37,19075241
175,19098273
215,19102781
307,19122656
199,19133215
5,19133216
6,19133219
253,19148191
321,19148268
111,19155524
207,19170639
241,19223581
150,19293190
189,19320244
74,19339948
191,19339952
288,19386588
190,19463248
116,19470664
50,19479085
275,19965718
349,20086245
318,20112282
299,20164219
226,20172487
263,20216554
64,20228817
155,20371344
36,20413825
312,20477536
249,20533884
112,20579875
282,20643828
280,20670480
278,20725607
256,20832755
1,21232779
250,21311629
73,21348414
14,21367891
140,21376230
218,21376668
118,21459966
272,21499264
3,21505306
287,21532838
47,21680525
62,21760945
258,21763496
257,21958739
316,22001830
238,22013044
320,22080513
283,22082156
311,22140520
162,22146893
171,22190050
297,22203832
235,22205749
138,22205974
152,22282655
66,22290239
276,22294645
330,22405323
344,22406815
339,22464652
224,22474021
323,22586040
102,22637726
167,22664873
334,22753745
310,22835829
223,22898622
245,23016856
260,23028130
322,23028330
259,23042677
314,23052978
343,23103739
309,23129528
147,23152559
107,23235831
46,23290628
182,23326556
234,23357732
48,23428142
65,23537959
337,23685241
296,23938024
304,23966394
196,24030490
246,24084739
68,24185044
271,24248364
284,24263102
264,24423102
232,24616504
347,24620741
83,24635642
295,24717285
268,24847939
168,24848257
183,24914139
286,24932481
231,24938790
142,24938990
57,24983542
255,25027649
99,25256399
135,25301002
161,25428505
121,25452256
114,25480514
233,25620312
80,25703038
303,25705792
290,25808800
123,25840792
306,25873391
298,25890101
247,25915633
252,25940347
163,25944800
179,26047948
324,26051216
157,26056232
11,26059995
4,26081316
269,26188041
173,26238785
160,26320069
60,26339063
2,26354735
148,26489604
10,26491256
9,26491257
141,26791720
115,26893637
27,26994221
122,27070705
340,27158343
136,27166185
174,27166194
281,27251424
176,27335323
178,27340784
205,27389109
237,27424812
154,27471618
319,27572460
342,27737691
198,27809912
341,27888625
301,27905892
265,27981723
329,27989642
217,27993935
230,28043921
187,28057639
305,28380049
177,28416485
130,28469959
184,28614794
266,28627655
41,28636951
164,28650338
58,28738768
59,28797170
144,28899878
63,28904745
338,28955339
346,28962163
285,28978468
146,29089297
185,29128556
67,29142136
166,29157311
145,29166611
172,29216863
69,29221798
78,29230203
120,29285394
109,29300693
103,29358169
129,29358632
137,29375583
181,29421523
23,29425816
186,29448843
24,29496533
220,29510515
128,29705397
302,29717615
158,29719241
326,29749134
127,29772686
126,29797610
100,29903574
331,29949725
159,29961579
292,30123182
327,30228348
180,30228976
336,30309377
125,30309853
165,30309915
87,30431654
124,30474221
110,30516432
86,30586365
317,30619232
169,30678257
85,30886166
149,30890699
244,31208472
98,31292161
8,31414081
242,31608229
7,32066770
291,32265559
195,32288525
219,33330058
194,33499233
345,33513339
84,34228546
293,34249000
193,34251531
77,34276704
348,34348591
197,34569417
192,34868084
76,35154162
97,35523829
214,35601502
96,36028574
75,36088794
204,36366513
203,36555761
213,36569848
202,36647730
95,36672667
94,36696023
212,36712621
201,36806352
211,36825290
200,36839838
93,37126704
210,37152735
19,8525373
17,8649511
18,8649512
15,8658171
16,8674119
105,8751444
32,8756719
29,8757135
104,8791590
251,9094631
31,9291931
34,9382366
33,9581779
30,9634238
